customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,false,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,true,2006-02-14T22:04:36.000+05:30,2006-02-15T04:57:20.000+05:30
